Date,Asset,Average Dividend Yield,Return on Assets,Total Debt to Total Assets,1-Year Volatility,Year,Ticker
2015-12-31,AAPL UW Equity,1.5231,20.4503,22.1557,26.975,2015,AAPL
2016-12-30,AAPL UW Equity,1.9037,14.9296,27.055,23.704,2016,AAPL
2017-12-29,AAPL UW Equity,1.463,13.8739,30.8218,17.661,2017,AAPL
2018-12-31,AAPL UW Equity,1.2849,16.0668,31.303,28.93,2018,AAPL
2019-12-31,AAPL UW Equity,1.3413,15.6924,31.9178,27.841,2019,AAPL
2020-12-31,AAPL UW Equity,0.8305,17.3341,37.7532,46.923,2020,AAPL
2015-12-31,ADBE UW Equity,0.0,5.593,16.2643,23.646,2015,ADBE
2016-12-30,ADBE UW Equity,0.0,9.5709,14.9024,25.009,2016,ADBE
2017-12-29,ADBE UW Equity,0.0,12.4405,12.9436,21.553,2017,ADBE
2018-12-31,ADBE UW Equity,0.0,15.5582,21.977,35.48,2018,ADBE
2019-12-31,ADBE UW Equity,0.0,14.9323,19.9315,25.965,2019,ADBE
2020-12-31,ADBE UW Equity,0.0,23.3537,19.3873,48.01,2020,ADBE
2015-12-31,ADI UW Equity,2.4424,10.0137,12.3242,31.727,2015,ADI
2016-12-30,ADI UW Equity,2.6351,11.4666,21.733,23.909,2016,ADI
2017-12-29,ADI UW Equity,2.0368,4.9964,37.1363,20.344,2017,ADI
2018-12-31,ADI UW Equity,1.9301,7.2486,30.9842,27.484,2018,ADI
2019-12-31,ADI UW Equity,1.7488,6.5167,25.672,29.436,2019,ADI
2020-12-31,ADI UW Equity,1.815,5.6963,25.4955,50.664,2020,ADI
2015-12-31,ADP UW Equity,2.3151,3.8877,4.5974,19.427,2015,ADP
2016-12-30,ADP UW Equity,2.3438,4.2879,5.3857,17.165,2016,ADP
2017-12-29,ADP UW Equity,2.1171,4.9584,5.1543,19.468,2017,ADP
2018-12-31,ADP UW Equity,1.9334,5.6797,5.4054,22.839,2018,ADP
2019-12-31,ADP UW Equity,1.9247,6.0861,6.2762,19.545,2019,ADP
2020-12-31,ADP UW Equity,2.3417,6.0861,6.2762,45.376,2020,ADP
2015-12-31,ADSK UW Equity,0.0,-6.3405,26.9741,28.474,2015,ADSK
2016-12-30,ADSK UW Equity,0.0,-11.2882,31.0685,35.546,2016,ADSK
2017-12-29,ADSK UW Equity,0.0,-12.7226,38.555,30.731,2017,ADSK
2018-12-31,ADSK UW Equity,0.0,-1.8275,44.1449,40.747,2018,ADSK
2019-12-31,ADSK UW Equity,0.0,3.9327,41.1794,30.464,2019,ADSK
2020-12-31,ADSK UW Equity,0.0,17.9537,28.9101,50.719,2020,ADSK
2015-12-31,ALGN UW Equity,0.0,13.4182,0.0,30.299,2015,ALGN
2016-12-30,ALGN UW Equity,0.0,14.8492,0.0,28.951,2016,ALGN
2017-12-29,ALGN UW Equity,0.0,14.5539,0.0,34.058,2017,ALGN
2018-12-31,ALGN UW Equity,0.0,20.8648,0.0,48.497,2018,ALGN
2019-12-31,ALGN UW Equity,0.0,19.4492,2.3673,49.813,2019,ALGN
2020-12-31,ALGN UW Equity,0.0,48.4528,1.7844,69.41,2020,ALGN
2015-12-31,ALXN UW Equity,0.0,1.6695,27.2658,35.195,2015,ALXN
2016-12-30,ALXN UW Equity,0.0,3.0315,24.8127,45.224,2016,ALXN
2017-12-29,ALXN UW Equity,0.0,3.3037,23.7866,32.532,2017,ALXN
2018-12-31,ALXN UW Equity,0.0,0.5641,23.0155,38.852,2018,ALXN
2019-12-31,ALXN UW Equity,0.0,15.2768,15.7467,38.089,2019,ALXN
2020-12-31,ALXN UW Equity,0.0,3.3854,15.3168,46.979,2020,ALXN
2015-12-31,AMAT UW Equity,2.0937,9.6693,29.6708,27.263,2015,AMAT
2016-12-30,AMAT UW Equity,1.694,11.5202,21.4482,30.983,2016,AMAT
2017-12-29,AMAT UW Equity,0.9215,20.7067,27.3135,26.614,2017,AMAT
2018-12-31,AMAT UW Equity,0.9001,16.3986,30.1083,40.318,2018,AMAT
2019-12-31,AMAT UW Equity,1.5524,14.7639,27.9279,36.694,2019,AMAT
2020-12-31,AMAT UW Equity,1.3806,17.4928,25.5312,60.089,2020,AMAT
2015-12-31,AMD UW Equity,0.0,-19.2673,72.5357,56.354,2015,AMD
2016-12-30,AMD UW Equity,0.0,-15.5504,43.2099,79.571,2016,AMD
